date,Year,Month,Day,adm2_id,ADM2_PCODE,districts,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
1981-01-01,1981,January,1,25840,LK45,Kilinochchi,41,51.9756,38.2098,,,,,131.8582,,,final
1981-01-11,1981,January,11,25840,LK45,Kilinochchi,41,11.1707,24.2545,,,,,55.2761,,,final
1981-01-21,1981,January,21,25840,LK45,Kilinochchi,41,2.7073,26.0366,65.8537,88.5008,,,24.833,77.0082,,final
1981-02-01,1981,February,1,25840,LK45,Kilinochchi,41,14.561,16.4992,28.439,66.7902,,,90.9847,50.0572,,final
1981-02-11,1981,February,11,25840,LK45,Kilinochchi,41,2.0,10.7528,19.2683,53.2886,,,44.4364,46.2457,,final
1981-02-21,1981,February,21,25840,LK45,Kilinochchi,41,1.8049,7.2797,18.3659,34.5317,,,55.4158,63.6981,,final
1981-03-01,1981,March,1,25840,LK45,Kilinochchi,41,1.9756,12.0911,5.7805,30.1236,,,40.8144,39.3297,,final
1981-03-11,1981,March,11,25840,LK45,Kilinochchi,41,1.8049,9.1805,5.5854,28.5512,,,47.9876,40.4277,,final
1981-03-21,1981,March,21,25840,LK45,Kilinochchi,41,5.5366,10.965,9.3171,32.2366,93.5366,155.2691,65.9979,45.7354,62.6473,final
1981-04-01,1981,April,1,25840,LK45,Kilinochchi,41,27.8293,24.5049,35.1707,44.6504,69.3902,141.5642,111.2673,82.654,52.3806,final
1981-04-11,1981,April,11,25840,LK45,Kilinochchi,41,8.9024,32.3366,42.2683,67.8065,67.122,149.6463,37.2354,67.1773,48.308,final
1981-04-21,1981,April,21,25840,LK45,Kilinochchi,41,3.9268,26.5683,40.6585,83.4098,68.3415,150.178,28.2778,54.2326,48.909,final
1981-05-01,1981,May,1,25840,LK45,Kilinochchi,41,17.3415,11.1837,30.1707,70.0886,71.122,144.8626,138.0488,50.1579,52.3832,final
1981-05-11,1981,May,11,25840,LK45,Kilinochchi,41,5.4878,5.8089,26.7561,43.561,74.6098,139.9187,97.029,68.6248,56.4371,final
1981-05-21,1981,May,21,25840,LK45,Kilinochchi,41,2.2683,2.8407,25.0976,19.8333,75.0732,135.4797,92.7001,117.6455,58.4777,final
1981-06-01,1981,June,1,25840,LK45,Kilinochchi,41,0.0732,0.5837,7.8293,9.2333,73.1707,123.9724,90.8561,92.6998,62.0805,final
